name,manufacturer,kind,form_factor,capacity,idle,read,write,read_write,source
"9550 PRO","Micron","SSD","NVME",3840,5.0,16.0,17.0,15.0,"9550-nvme-ssd-tech-prod-spec"
"9550 PRO","Micron","SSD","NVME",7680,5.0,17.0,21.0,17.0,"9550-nvme-ssd-tech-prod-spec"
"9550 PRO","Micron","SSD","NVME",15360,5.0,19.0,21.0,19.0,"9550-nvme-ssd-tech-prod-spec"
"9550 PRO","Micron","SSD","NVME",30720,5.0,19.0,23.0,18.0,"9550-nvme-ssd-tech-prod-spec"
"9550 MAX","Micron","SSD","NVME",3200,5.0,16.0,17.0,13.0,"9550-nvme-ssd-tech-prod-spec"
"9550 MAX","Micron","SSD","NVME",6400,5.0,17.0,17.0,17.0,"9550-nvme-ssd-tech-prod-spec"
"9550 MAX","Micron","SSD","NVME",12800,5.0,19.0,19.0,17.0,"9550-nvme-ssd-tech-prod-spec"
"9550 MAX","Micron","SSD","NVME",25600,5.0,19.0,23.0,18.0,"9550-nvme-ssd-tech-prod-spec"
"Rocket Enterprise","Sabrent","SSD","NVME",1920,5.46,12.4,11.9,,"sb-p4u2"
"Rocket Enterprise","Sabrent","SSD","NVME",3840,5.8,13.3,15.5,,"sb-p4u2"
"Rocket Enterprise","Sabrent","SSD","NVME",7680,5.75,15.7,17.4,,"sb-p4u2"
"Rocket Enterprise","Sabrent","SSD","NVME",15360,7.32,16.2,19.6,,"sb-p4u2"
"Rocket Enterprise","Sabrent","SSD","NVME",30720,8.16,18.5,20.6,,"sb-p4u2"
"870 EVO","Samsung","SSD","SATA",256,0.003,2.0,2.2,,"SSD_870_EVO_Datasheet"
"870 EVO","Samsung","SSD","SATA",512,0.003,2.0,2.2,,"SSD_870_EVO_Datasheet"
"870 EVO","Samsung","SSD","SATA",1024,0.003,2.0,2.5,,"SSD_870_EVO_Datasheet"
"870 EVO","Samsung","SSD","SATA",2048,0.003,2.2,2.5,,"SSD_870_EVO_Datasheet"
"870 EVO","Samsung","SSD","SATA",4096,0.003,2.2,2.5,,"SSD_870_EVO_Datasheet"
"990 EVO","Samsung","SSD","NVME",1024,0.006,4.3,4.2,,"samsung_nvme_ssd_990_evo_plus_datasheet_rev.1.0"
"990 EVO","Samsung","SSD","NVME",2048,0.006,4.6,4.2,,"samsung_nvme_ssd_990_evo_plus_datasheet_rev.1.0"
"990 EVO","Samsung","SSD","NVME",4096,0.006,5.5,4.8,,"samsung_nvme_ssd_990_evo_plus_datasheet_rev.1.0"
